Quarter,HB,HBT,HBTQF,CancerType,CancerTypeQF,NumberOfEligibleReferrals31DayStandard,NumberOfEligibleReferrals31DayStandardQF,NumberOfEligibleReferralsTreatedWithin31Days,NumberOfEligibleReferralsTreatedWithin31DaysQF
2015Q3,S08000017,S08000024,,Colorectal,,1,,1,
2015Q3,S08000017,S08000024,,Head & Neck,,3,,3,
2015Q3,S08000017,S08000024,,Lung,,4,,4,
2015Q3,S08000017,S08000024,,Upper GI,,8,,8,
2015Q3,S08000017,S08000024,,Urological,,16,,11,
2015Q3,S08000017,S08000031,,Head & Neck,,2,,2,
2015Q3,S08000017,S08000031,,Lymphoma,,1,,1,
2015Q3,S08000017,S08000031,,Upper GI,,1,,1,
2015Q3,S08000017,SB0801,,Lung,,7,,7,
2015Q3,S08000019,S08000019,,Breast,,32,,31,
2015Q3,S08000019,S08000019,,Colorectal,,36,,36,
2015Q3,S08000019,S08000019,,Head & Neck,,6,,5,
2015Q3,S08000019,S08000019,,Lung,,24,,24,
2015Q3,S08000019,S08000019,,Lymphoma,,15,,15,
2015Q3,S08000019,S08000019,,Melanoma,,13,,12,
2015Q3,S08000019,S08000019,,Upper GI,,22,,22,
2015Q3,S08000019,S08000019,,Urological,,75,,75,
2015Q3,S08000019,S08000024,,Upper GI,,2,,2,
2015Q3,S08000019,S08000031,,Cervical,,1,,1,
2015Q3,S08000019,S08000031,,Colorectal,,3,,3,
2015Q3,S08000019,S08000031,,Head & Neck,,12,,10,
2015Q3,S08000019,S08000031,,Lung,,6,,6,
2015Q3,S08000019,S08000031,,Lymphoma,,3,,3,
2015Q3,S08000019,S08000031,,Ovarian,,2,,2,
2015Q3,S08000019,S08000031,,Upper GI,,14,,14,
2015Q3,S08000019,S08000032,,Head & Neck,,1,,1,
2015Q3,S08000019,SB0801,,Lung,,10,,10,
2015Q3,S08000020,S08000020,,Breast,,130,,121,
2015Q3,S08000020,S08000020,,Cervical,,11,,10,
2015Q3,S08000020,S08000020,,Colorectal,,84,,82,
2015Q3,S08000020,S08000020,,Head & Neck,,35,,34,
2015Q3,S08000020,S08000020,,Lung,,89,,89,
2015Q3,S08000020,S08000020,,Lymphoma,,28,,26,
2015Q3,S08000020,S08000020,,Melanoma,,28,,27,
2015Q3,S08000020,S08000020,,Ovarian,,18,,18,
2015Q3,S08000020,S08000020,,Upper GI,,60,,58,
2015Q3,S08000020,S08000020,,Urological,,121,,98,
2015Q3,S08000020,S08000024,,Urological,,1,,1,
2015Q3,S08000020,S08000025,,Urological,,1,,1,
2015Q3,S08000022,S08000020,,Lung,,2,,2,
2015Q3,S08000022,S08000020,,Lymphoma,,1,,1,
2015Q3,S08000022,S08000020,,Urological,,4,,0,
2015Q3,S08000022,S08000022,,Breast,,79,,79,
2015Q3,S08000022,S08000022,,Cervical,,2,,2,
2015Q3,S08000022,S08000022,,Colorectal,,46,,44,
2015Q3,S08000022,S08000022,,Head & Neck,,12,,10,
2015Q3,S08000022,S08000022,,Lung,,41,,37,
2015Q3,S08000022,S08000022,,Lymphoma,,17,,17,
2015Q3,S08000022,S08000022,,Melanoma,,12,,12,
2015Q3,S08000022,S08000022,,Ovarian,,4,,3,
2015Q3,S08000022,S08000022,,Upper GI,,42,,41,
2015Q3,S08000022,S08000022,,Urological,,62,,54,
2015Q3,S08000022,S08000024,,Upper GI,,1,,1,
2015Q3,S08000022,S08000028,,Breast,,1,,1,
2015Q3,S08000022,S08000028,,Urological,,4,,4,
2015Q3,S08000022,S08000031,,Breast,,1,,1,
2015Q3,S08000022,S08000031,,Lung,,1,,1,
2015Q3,S08000022,S08000031,,Upper GI,,1,,1,
2015Q3,S08000022,SB0801,,Colorectal,,1,,1,
2015Q3,S08000022,SB0801,,Lung,,2,,2,
2015Q3,S08000022,SB0801,,Lymphoma,,1,,1,
2015Q3,S08000024,S08000019,,Breast,,2,,2,
2015Q3,S08000024,S08000024,,Breast,,236,,236,
2015Q3,S08000024,S08000024,,Cervical,,9,,9,
2015Q3,S08000024,S08000024,,Colorectal,,98,,95,
2015Q3,S08000024,S08000024,,Head & Neck,,34,,34,
2015Q3,S08000024,S08000024,,Lung,,142,,142,
2015Q3,S08000024,S08000024,,Lymphoma,,32,,32,
2015Q3,S08000024,S08000024,,Melanoma,,46,,46,
2015Q3,S08000024,S08000024,,Ovarian,,14,,12,
2015Q3,S08000024,S08000024,,Upper GI,,51,,51,
2015Q3,S08000024,S08000024,,Urological,,157,,149,
2015Q3,S08000024,S08000029,,Breast,,5,,5,
2015Q3,S08000025,S08000020,,Cervical,,1,,1,
2015Q3,S08000025,S08000020,,Colorectal,,1,,0,
2015Q3,S08000025,S08000020,,Upper GI,,2,,2,
2015Q3,S08000025,S08000025,,Breast,,1,,1,
2015Q3,S08000025,S08000025,,Colorectal,,2,,2,
2015Q3,S08000025,S08000025,,Lung,,1,,1,
2015Q3,S08000025,S08000025,,Upper GI,,1,,1,
2015Q3,S08000026,S08000020,,Colorectal,,4,,2,
2015Q3,S08000026,S08000020,,Head & Neck,,1,,1,
2015Q3,S08000026,S08000020,,Lung,,1,,1,
2015Q3,S08000026,S08000020,,Lymphoma,,1,,1,
2015Q3,S08000026,S08000020,,Upper GI,,2,,2,
2015Q3,S08000026,S08000020,,Urological,,2,,2,
2015Q3,S08000026,S08000026,,Breast,,1,,1,
2015Q3,S08000026,S08000026,,Colorectal,,4,,4,
2015Q3,S08000026,S08000026,,Melanoma,,1,,1,
2015Q3,S08000026,S08000026,,Upper GI,,2,,2,
2015Q3,S08000026,S08000026,,Urological,,9,,9,
2015Q3,S08000028,S08000022,,Colorectal,,2,,2,
2015Q3,S08000028,S08000022,,Head & Neck,,2,,2,
2015Q3,S08000028,S08000022,,Lung,,3,,3,
2015Q3,S08000028,S08000022,,Lymphoma,,1,,1,
2015Q3,S08000028,S08000022,,Melanoma,,1,,1,
2015Q3,S08000028,S08000022,,Upper GI,,2,,2,
2015Q3,S08000028,S08000022,,Urological,,1,,1,
2015Q3,S08000028,S08000028,,Colorectal,,5,,5,
2015Q3,S08000028,S08000028,,Melanoma,,1,,1,
2015Q3,S08000028,S08000028,,Upper GI,,1,,1,
2015Q3,S08000028,S08000031,,Colorectal,,1,,1,
2015Q3,S08000029,S08000024,,Breast,,1,,1,
2015Q3,S08000029,S08000024,,Colorectal,,4,,4,
2015Q3,S08000029,S08000024,,Head & Neck,,9,,8,
2015Q3,S08000029,S08000024,,Lung,,29,,29,
2015Q3,S08000029,S08000024,,Lymphoma,,1,,1,
2015Q3,S08000029,S08000024,,Upper GI,,7,,7,
2015Q3,S08000029,S08000024,,Urological,,9,,7,
2015Q3,S08000029,S08000029,,Breast,,29,,28,
2015Q3,S08000029,S08000029,,Cervical,,1,,1,
2015Q3,S08000029,S08000029,,Colorectal,,44,,42,
2015Q3,S08000029,S08000029,,Head & Neck,,3,,3,
2015Q3,S08000029,S08000029,,Lung,,45,,45,
2015Q3,S08000029,S08000029,,Lymphoma,,16,,16,
2015Q3,S08000029,S08000029,,Melanoma,,12,,12,
2015Q3,S08000029,S08000029,,Ovarian,,14,,14,
2015Q3,S08000029,S08000029,,Upper GI,,23,,23,
2015Q3,S08000029,S08000029,,Urological,,81,,75,
2015Q3,S08000029,S08000030,,Lung,,2,,2,
2015Q3,S08000029,S08000030,,Melanoma,,3,,3,
2015Q3,S08000030,S08000020,,Lung,,2,,2,
2015Q3,S08000030,S08000024,,Lung,,2,,2,
2015Q3,S08000030,S08000029,,Colorectal,,1,,1,
2015Q3,S08000030,S08000030,,Breast,,124,,122,
2015Q3,S08000030,S08000030,,Cervical,,7,,7,
2015Q3,S08000030,S08000030,,Colorectal,,78,,76,
2015Q3,S08000030,S08000030,,Head & Neck,,18,,15,
2015Q3,S08000030,S08000030,,Lung,,79,,73,
2015Q3,S08000030,S08000030,,Lymphoma,,8,,8,
2015Q3,S08000030,S08000030,,Melanoma,,32,,29,
2015Q3,S08000030,S08000030,,Ovarian,,5,,4,
2015Q3,S08000030,S08000030,,Upper GI,,59,,59,
2015Q3,S08000030,S08000030,,Urological,,110,,84,
2015Q3,S08000031,S08000022,,Lung,,1,,1,
2015Q3,S08000031,S08000024,,Upper GI,,1,,1,
2015Q3,S08000031,S08000024,,Urological,,1,,1,
2015Q3,S08000031,S08000031,,Breast,,327,,298,
2015Q3,S08000031,S08000031,,Cervical,,6,,6,
2015Q3,S08000031,S08000031,,Colorectal,,147,,143,
2015Q3,S08000031,S08000031,,Head & Neck,,104,,97,
2015Q3,S08000031,S08000031,,Lung,,247,,247,
2015Q3,S08000031,S08000031,,Lymphoma,,66,,66,
2015Q3,S08000031,S08000031,,Melanoma,,96,,96,
2015Q3,S08000031,S08000031,,Ovarian,,27,,27,
2015Q3,S08000031,S08000031,,Upper GI,,127,,121,
2015Q3,S08000031,S08000031,,Urological,,277,,228,
2015Q3,S08000031,S08000032,,Breast,,11,,11,
2015Q3,S08000031,SB0801,,Lung,,52,,52,
2015Q3,S08000032,S08000024,,Urological,,11,,9,
2015Q3,S08000032,S08000031,,Breast,,4,,4,
2015Q3,S08000032,S08000031,,Cervical,,8,,8,
2015Q3,S08000032,S08000031,,Colorectal,,11,,11,
2015Q3,S08000032,S08000031,,Head & Neck,,19,,19,
2015Q3,S08000032,S08000031,,Lung,,28,,28,
2015Q3,S08000032,S08000031,,Melanoma,,3,,3,
2015Q3,S08000032,S08000031,,Ovarian,,11,,11,
2015Q3,S08000032,S08000031,,Upper GI,,9,,9,
2015Q3,S08000032,S08000031,,Urological,,9,,8,
2015Q3,S08000032,S08000032,,Breast,,83,,83,
2015Q3,S08000032,S08000032,,Cervical,,6,,6,
2015Q3,S08000032,S08000032,,Colorectal,,63,,60,
2015Q3,S08000032,S08000032,,Head & Neck,,14,,14,
2015Q3,S08000032,S08000032,,Lung,,61,,61,
2015Q3,S08000032,S08000032,,Lymphoma,,29,,29,
2015Q3,S08000032,S08000032,,Melanoma,,21,,18,
2015Q3,S08000032,S08000032,,Ovarian,,2,,2,
2015Q3,S08000032,S08000032,,Upper GI,,49,,49,
2015Q3,S08000032,S08000032,,Urological,,90,,77,
2015Q3,S08000032,SB0801,,Lung,,20,,20,
2015Q4,S08000015,S08000015,,Breast,,98,,98,
2015Q4,S08000015,S08000015,,Cervical,,2,,2,
2015Q4,S08000015,S08000015,,Colorectal,,60,,59,
2015Q4,S08000015,S08000015,,Head & Neck,,14,,14,
2015Q4,S08000015,S08000015,,Lung,,25,,25,
2015Q4,S08000015,S08000015,,Lymphoma,,14,,14,
2015Q4,S08000015,S08000015,,Melanoma,,15,,15,
2015Q4,S08000015,S08000015,,Ovarian,,8,,8,
2015Q4,S08000015,S08000015,,Upper GI,,34,,34,
2015Q4,S08000015,S08000015,,Urological,,81,,81,
2015Q4,S08000015,S08000017,,Breast,,4,,4,
2015Q4,S08000015,S08000024,,Upper GI,,3,,3,
2015Q4,S08000015,S08000031,,Cervical,,1,,1,
2015Q4,S08000015,S08000031,,Colorectal,,2,,2,
2015Q4,S08000015,S08000031,,Head & Neck,,5,,5,
2015Q4,S08000015,S08000031,,Lung,,12,,12,
2015Q4,S08000015,S08000031,,Melanoma,,6,,6,
2015Q4,S08000015,S08000031,,Ovarian,,4,,4,
2015Q4,S08000015,S08000031,,Upper GI,,15,,15,
2015Q4,S08000015,S08000031,,Urological,,5,,4,
2015Q4,S08000015,SB0801,,Lung,,4,,4,
2015Q4,S08000016,S08000016,,Breast,,18,,18,
2015Q4,S08000016,S08000016,,Cervical,,3,,3,
2015Q4,S08000016,S08000016,,Colorectal,,16,,16,
2015Q4,S08000016,S08000016,,Head & Neck,,3,,3,
2015Q4,S08000016,S08000016,,Lung,,8,,8,
2015Q4,S08000016,S08000016,,Lymphoma,,6,,6,
2015Q4,S08000016,S08000016,,Melanoma,,11,,11,
2015Q4,S08000016,S08000016,,Ovarian,,7,,7,
2015Q4,S08000016,S08000016,,Upper GI,,15,,15,
2015Q4,S08000016,S08000016,,Urological,,17,,16,
2015Q4,S08000016,S08000024,,Colorectal,,4,,4,
2015Q4,S08000016,S08000024,,Head & Neck,,5,,5,
2015Q4,S08000016,S08000024,,Lung,,3,,3,
2015Q4,S08000016,S08000024,,Melanoma,,1,,1,
2015Q4,S08000016,S08000024,,Upper GI,,2,,2,
2015Q4,S08000016,S08000024,,Urological,,8,,8,
2015Q4,S08000017,S08000017,,Breast,,24,,24,
2015Q4,S08000017,S08000017,,Cervical,,1,,1,
2015Q4,S08000017,S08000017,,Colorectal,,25,,25,
2015Q4,S08000017,S08000017,,Head & Neck,,3,,3,
2015Q4,S08000017,S08000017,,Lung,,24,,24,
2015Q4,S08000017,S08000017,,Lymphoma,,9,,9,
2015Q4,S08000017,S08000017,,Melanoma,,3,,3,
2015Q4,S08000017,S08000017,,Ovarian,,4,,4,
2015Q4,S08000017,S08000017,,Upper GI,,23,,23,
2015Q4,S08000017,S08000017,,Urological,,39,,37,
2015Q4,S08000017,S08000024,,Breast,,2,,2,
2015Q4,S08000017,S08000024,,Cervical,,1,,1,
2015Q4,S08000017,S08000024,,Colorectal,,2,,2,
2015Q4,S08000017,S08000024,,Head & Neck,,5,,5,
2015Q4,S08000017,S08000024,,Lung,,5,,5,
2015Q4,S08000017,S08000024,,Ovarian,,1,,1,
2015Q4,S08000017,S08000024,,Upper GI,,8,,8,
2015Q4,S08000017,S08000024,,Urological,,12,,10,
2015Q4,S08000017,S08000031,,Head & Neck,,1,,1,
2015Q4,S08000017,S08000031,,Lymphoma,,1,,1,
2015Q4,S08000017,S08000031,,Upper GI,,1,,1,
2015Q4,S08000017,SB0801,,Lung,,3,,3,
2015Q4,S08000019,S08000019,,Breast,,50,,50,
2015Q4,S08000019,S08000019,,Cervical,,1,,1,
2015Q4,S08000019,S08000019,,Colorectal,,33,,31,
2015Q4,S08000019,S08000019,,Head & Neck,,8,,8,
2015Q4,S08000019,S08000019,,Lung,,27,,27,
2015Q4,S08000019,S08000019,,Lymphoma,,9,,9,
2015Q4,S08000019,S08000019,,Melanoma,,16,,14,
2015Q4,S08000019,S08000019,,Ovarian,,1,,1,
2015Q4,S08000019,S08000019,,Upper GI,,21,,21,
2015Q4,S08000019,S08000019,,Urological,,70,,70,
2015Q4,S08000019,S08000024,,Upper GI,,3,,3,
2015Q4,S08000019,S08000031,,Breast,,2,,2,
2015Q4,S08000019,S08000031,,Cervical,,4,,4,
2015Q4,S08000019,S08000031,,Colorectal,,5,,5,
2015Q4,S08000019,S08000031,,Head & Neck,,8,,8,
2015Q4,S08000019,S08000031,,Lung,,19,,19,
2015Q4,S08000019,S08000031,,Lymphoma,,1,,1,
2015Q4,S08000019,S08000031,,Melanoma,,1,,1,
2015Q4,S08000019,S08000031,,Ovarian,,6,,6,
2015Q4,S08000019,S08000031,,Upper GI,,9,,9,
2015Q4,S08000019,S08000031,,Urological,,4,,3,
2015Q4,S08000019,S08000032,,Head & Neck,,2,,2,
2015Q4,S08000019,SB0801,,Lung,,9,,9,
2015Q4,S08000020,S08000020,,Breast,,131,,127,
2015Q4,S08000020,S08000020,,Cervical,,8,,8,
2015Q4,S08000020,S08000020,,Colorectal,,68,,67,
2015Q4,S08000020,S08000020,,Head & Neck,,24,,23,
2015Q4,S08000020,S08000020,,Lung,,75,,74,
2015Q4,S08000020,S08000020,,Lymphoma,,36,,36,
2015Q4,S08000020,S08000020,,Melanoma,,25,,25,
2015Q4,S08000020,S08000020,,Ovarian,,12,,12,
2015Q4,S08000020,S08000020,,Upper GI,,64,,64,
2015Q4,S08000020,S08000020,,Urological,,123,,111,
2015Q4,S08000020,S08000022,,Colorectal,,1,,1,
2015Q4,S08000020,S08000022,,Head & Neck,,2,,2,
2015Q4,S08000020,S08000022,,Lymphoma,,1,,1,
2015Q4,S08000020,S08000025,,Urological,,1,,1,
2015Q4,S08000022,S08000020,,Lung,,1,,1,
2015Q4,S08000022,S08000020,,Melanoma,,1,,1,
2015Q4,S08000022,S08000020,,Ovarian,,2,,2,
2015Q4,S08000022,S08000020,,Urological,,4,,1,
2015Q4,S08000022,S08000022,,Breast,,81,,81,
2015Q4,S08000022,S08000022,,Cervical,,3,,3,
2015Q4,S08000022,S08000022,,Colorectal,,48,,46,
2015Q4,S08000022,S08000022,,Head & Neck,,12,,12,
2015Q4,S08000022,S08000022,,Lung,,32,,32,
2015Q4,S08000022,S08000022,,Lymphoma,,11,,11,
2015Q4,S08000022,S08000022,,Melanoma,,12,,12,
2015Q4,S08000022,S08000022,,Ovarian,,3,,3,
2015Q4,S08000022,S08000022,,Upper GI,,28,,28,
2015Q4,S08000022,S08000022,,Urological,,72,,65,
2015Q4,S08000022,S08000024,,Breast,,1,,1,
2015Q4,S08000022,S08000024,,Urological,,3,,3,
2015Q4,S08000022,S08000028,,Breast,,1,,1,
2015Q4,S08000022,S08000028,,Lung,,1,,1,
2015Q4,S08000022,S08000030,,Head & Neck,,1,,1,
2015Q4,S08000022,S08000031,,Head & Neck,,1,,1,
2015Q4,S08000022,S08000031,,Lung,,2,,2,
2015Q4,S08000022,S08000031,,Upper GI,,1,,1,
2015Q4,S08000022,S08000031,,Urological,,1,,1,
2015Q4,S08000022,SB0801,,Lung,,3,,3,
2015Q4,S08000024,S08000019,,Breast,,4,,4,
2015Q4,S08000024,S08000024,,Breast,,204,,204,
2015Q4,S08000024,S08000024,,Cervical,,21,,20,
2015Q4,S08000024,S08000024,,Colorectal,,103,,98,
2015Q4,S08000024,S08000024,,Head & Neck,,33,,33,
2015Q4,S08000024,S08000024,,Lung,,96,,96,
2015Q4,S08000024,S08000024,,Lymphoma,,38,,38,
2015Q4,S08000024,S08000024,,Melanoma,,75,,75,
2015Q4,S08000024,S08000024,,Ovarian,,12,,11,
2015Q4,S08000024,S08000024,,Upper GI,,56,,56,
2015Q4,S08000024,S08000024,,Urological,,143,,130,
2015Q4,S08000024,S08000029,,Breast,,2,,2,
2015Q4,S08000025,S08000020,,Breast,,1,,1,
2015Q4,S08000025,S08000020,,Cervical,,1,,1,
2015Q4,S08000025,S08000020,,Colorectal,,1,,1,
2015Q4,S08000025,S08000020,,Melanoma,,1,,1,
2015Q4,S08000025,S08000020,,Upper GI,,2,,2,
2015Q4,S08000025,S08000025,,Melanoma,,1,,1,
2015Q4,S08000026,S08000020,,Breast,,1,,0,
2015Q4,S08000026,S08000020,,Head & Neck,,1,,1,
2015Q4,S08000026,S08000020,,Lung,,1,,1,
2015Q4,S08000026,S08000020,,Lymphoma,,1,,1,
2015Q4,S08000026,S08000020,,Ovarian,,1,,1,
2015Q4,S08000026,S08000020,,Upper GI,,1,,1,
2015Q4,S08000026,S08000026,,Colorectal,,1,,1,
2015Q4,S08000026,S08000026,,Lung,,2,,2,
2015Q4,S08000026,S08000026,,Melanoma,,2,,2,
2015Q4,S08000028,S08000022,,Colorectal,,1,,1,
2015Q4,S08000028,S08000022,,Lymphoma,,2,,2,
2015Q4,S08000028,S08000022,,Urological,,3,,2,
2015Q4,S08000028,S08000028,,Colorectal,,1,,1,
2015Q4,S08000028,S08000028,,Lung,,3,,3,
2015Q4,S08000028,S08000028,,Upper GI,,2,,2,
2015Q4,S08000028,S08000028,,Urological,,3,,3,
2015Q4,S08000028,S08000031,,Cervical,,1,,1,
2015Q4,S08000028,S08000031,,Upper GI,,2,,2,
2015Q4,S08000028,SB0801,,Lung,,1,,1,
2015Q4,S08000029,S08000024,,Breast,,1,,1,
2015Q4,S08000029,S08000024,,Cervical,,2,,2,
2015Q4,S08000029,S08000024,,Head & Neck,,10,,10,
2015Q4,S08000029,S08000024,,Lung,,21,,21,
2015Q4,S08000029,S08000024,,Upper GI,,7,,7,
2015Q4,S08000029,S08000024,,Urological,,5,,5,
2015Q4,S08000029,S08000029,,Breast,,55,,54,
2015Q4,S08000029,S08000029,,Cervical,,2,,2,
2015Q4,S08000029,S08000029,,Colorectal,,49,,48,
2015Q4,S08000029,S08000029,,Head & Neck,,1,,1,
2015Q4,S08000029,S08000029,,Lung,,43,,43,
2015Q4,S08000029,S08000029,,Lymphoma,,14,,14,
2015Q4,S08000029,S08000029,,Melanoma,,21,,21,
2015Q4,S08000029,S08000029,,Ovarian,,9,,8,
2015Q4,S08000029,S08000029,,Upper GI,,29,,29,
2015Q4,S08000029,S08000029,,Urological,,79,,73,
2015Q4,S08000029,S08000030,,Lung,,2,,2,
2015Q4,S08000029,S08000030,,Melanoma,,3,,1,
2015Q4,S08000029,S08000030,,Urological,,1,,1,
2015Q4,S08000030,S08000030,,Breast,,109,,105,
2015Q4,S08000030,S08000030,,Cervical,,8,,8,
2015Q4,S08000030,S08000030,,Colorectal,,87,,86,
2015Q4,S08000030,S08000030,,Head & Neck,,15,,15,
2015Q4,S08000030,S08000030,,Lung,,77,,77,
2015Q4,S08000030,S08000030,,Lymphoma,,22,,22,
2015Q4,S08000030,S08000030,,Melanoma,,27,,27,
2015Q4,S08000030,S08000030,,Ovarian,,10,,9,
2015Q4,S08000030,S08000030,,Upper GI,,68,,67,
2015Q4,S08000030,S08000030,,Urological,,96,,80,
2015Q4,S08000031,S08000024,,Upper GI,,3,,2,
2015Q4,S08000031,S08000024,,Urological,,1,,0,
2015Q4,S08000031,S08000031,,Breast,,357,,314,
2015Q4,S08000031,S08000031,,Cervical,,17,,17,
2015Q4,S08000031,S08000031,,Colorectal,,158,,155,
2015Q4,S08000031,S08000031,,Head & Neck,,89,,86,
2015Q4,S08000031,S08000031,,Lung,,251,,251,
2015Q4,S08000031,S08000031,,Lymphoma,,63,,63,
2015Q4,S08000031,S08000031,,Melanoma,,99,,99,
2015Q4,S08000031,S08000031,,Ovarian,,36,,36,
2015Q4,S08000031,S08000031,,Upper GI,,156,,154,
2015Q4,S08000031,S08000031,,Urological,,287,,260,
2015Q4,S08000031,S08000032,,Breast,,10,,10,
2015Q4,S08000031,SB0801,,Lung,,50,,50,
2015Q4,S08000032,S08000024,,Colorectal,,1,,1,
2015Q4,S08000032,S08000024,,Urological,,9,,2,
2015Q4,S08000032,S08000031,,Breast,,3,,3,
2015Q4,S08000032,S08000031,,Cervical,,7,,7,
2015Q4,S08000032,S08000031,,Colorectal,,10,,10,
2015Q4,S08000032,S08000031,,Head & Neck,,13,,12,
2015Q4,S08000032,S08000031,,Lung,,14,,14,
2015Q4,S08000032,S08000031,,Lymphoma,,1,,1,
2015Q4,S08000032,S08000031,,Melanoma,,4,,4,
2015Q4,S08000032,S08000031,,Ovarian,,5,,5,
2015Q4,S08000032,S08000031,,Upper GI,,7,,7,
2015Q4,S08000032,S08000031,,Urological,,11,,9,
2015Q4,S08000032,S08000032,,Breast,,100,,100,
2015Q4,S08000032,S08000032,,Cervical,,2,,2,
2015Q4,S08000032,S08000032,,Colorectal,,66,,61,
2015Q4,S08000032,S08000032,,Head & Neck,,16,,16,
2015Q4,S08000032,S08000032,,Lung,,42,,42,
2015Q4,S08000032,S08000032,,Lymphoma,,22,,22,
2015Q4,S08000032,S08000032,,Melanoma,,21,,21,
2015Q4,S08000032,S08000032,,Ovarian,,2,,2,
2015Q4,S08000032,S08000032,,Upper GI,,39,,39,
2015Q4,S08000032,S08000032,,Urological,,100,,86,
2015Q4,S08000032,SB0801,,Lung,,20,,20,
2016Q1,S08000015,S08000015,,Breast,,92,,91,
2016Q1,S08000015,S08000015,,Colorectal,,45,,45,
2016Q1,S08000015,S08000015,,Head & Neck,,8,,8,
2016Q1,S08000015,S08000015,,Lung,,31,,31,
2016Q1,S08000015,S08000015,,Lymphoma,,15,,15,
2016Q1,S08000015,S08000015,,Melanoma,,12,,12,
2016Q1,S08000015,S08000015,,Ovarian,,3,,3,
2016Q1,S08000015,S08000015,,Upper GI,,32,,32,
2016Q1,S08000015,S08000015,,Urological,,86,,78,
2016Q1,S08000015,S08000017,,Breast,,7,,7,
2016Q1,S08000015,S08000024,,Upper GI,,2,,2,
2016Q1,S08000015,S08000031,,Breast,,1,,0,
2016Q1,S08000015,S08000031,,Cervical,,4,,4,
2016Q1,S08000015,S08000031,,Colorectal,,4,,4,
2016Q1,S08000015,S08000031,,Head & Neck,,9,,9,
2016Q1,S08000015,S08000031,,Lung,,16,,16,
2016Q1,S08000015,S08000031,,Melanoma,,5,,4,
2016Q1,S08000015,S08000031,,Ovarian,,6,,6,
2016Q1,S08000015,S08000031,,Upper GI,,19,,18,
2016Q1,S08000015,S08000031,,Urological,,3,,2,
2016Q1,S08000015,SB0801,,Lung,,8,,8,
2016Q1,S08000016,S08000016,,Breast,,18,,18,
2016Q1,S08000016,S08000016,,Colorectal,,14,,14,
2016Q1,S08000016,S08000016,,Lung,,9,,9,
2016Q1,S08000016,S08000016,,Lymphoma,,2,,2,
2016Q1,S08000016,S08000016,,Melanoma,,6,,6,
2016Q1,S08000016,S08000016,,Ovarian,,6,,6,
2016Q1,S08000016,S08000016,,Upper GI,,10,,10,
2016Q1,S08000016,S08000016,,Urological,,16,,16,
2016Q1,S08000016,S08000024,,Colorectal,,6,,6,
2016Q1,S08000016,S08000024,,Head & Neck,,4,,4,
2016Q1,S08000016,S08000024,,Lung,,8,,8,
2016Q1,S08000016,S08000024,,Upper GI,,4,,4,
2016Q1,S08000016,S08000024,,Urological,,6,,4,
2016Q1,S08000017,S08000017,,Breast,,22,,22,
2016Q1,S08000017,S08000017,,Colorectal,,25,,25,
2016Q1,S08000017,S08000017,,Lung,,19,,19,
2016Q1,S08000017,S08000017,,Lymphoma,,12,,12,
2016Q1,S08000017,S08000017,,Melanoma,,4,,4,
2016Q1,S08000017,S08000017,,Ovarian,,3,,3,
2016Q1,S08000017,S08000017,,Upper GI,,14,,14,
2016Q1,S08000017,S08000017,,Urological,,38,,38,
2016Q1,S08000017,S08000024,,Colorectal,,2,,2,
2016Q1,S08000017,S08000024,,Head & Neck,,2,,2,
2016Q1,S08000017,S08000024,,Lung,,9,,9,
2016Q1,S08000017,S08000024,,Upper GI,,5,,5,
2016Q1,S08000017,S08000024,,Urological,,3,,2,
2016Q1,S08000017,S08000031,,Upper GI,,1,,1,
2016Q1,S08000017,SB0801,,Lung,,4,,4,
2016Q1,S08000019,S08000019,,Breast,,41,,40,
2016Q1,S08000019,S08000019,,Cervical,,2,,2,
2016Q1,S08000019,S08000019,,Colorectal,,44,,42,
2016Q1,S08000019,S08000019,,Head & Neck,,5,,5,
2016Q1,S08000019,S08000019,,Lung,,39,,39,
2016Q1,S08000019,S08000019,,Lymphoma,,7,,7,
2016Q1,S08000019,S08000019,,Melanoma,,13,,12,
2016Q1,S08000019,S08000019,,Upper GI,,28,,28,
2016Q1,S08000019,S08000019,,Urological,,62,,62,
2016Q1,S08000019,S08000024,,Breast,,1,,1,
2016Q1,S08000019,S08000024,,Upper GI,,3,,3,
2016Q1,S08000019,S08000031,,Breast,,1,,1,
2016Q1,S08000019,S08000031,,Cervical,,2,,2,
2016Q1,S08000019,S08000031,,Colorectal,,4,,4,
2016Q1,S08000019,S08000031,,Head & Neck,,10,,9,
2016Q1,S08000019,S08000031,,Lung,,18,,18,
2016Q1,S08000019,S08000031,,Lymphoma,,2,,2,
2016Q1,S08000019,S08000031,,Ovarian,,6,,6,
2016Q1,S08000019,S08000031,,Upper GI,,9,,9,
2016Q1,S08000019,S08000031,,Urological,,7,,5,
2016Q1,S08000019,SB0801,,Lung,,5,,5,
2016Q1,S08000020,S08000020,,Breast,,113,,113,
2016Q1,S08000020,S08000020,,Cervical,,10,,10,
2016Q1,S08000020,S08000020,,Colorectal,,83,,78,
2016Q1,S08000020,S08000020,,Head & Neck,,25,,25,
2016Q1,S08000020,S08000020,,Lung,,94,,93,
2016Q1,S08000020,S08000020,,Lymphoma,,27,,27,
2016Q1,S08000020,S08000020,,Melanoma,,37,,37,
2016Q1,S08000020,S08000020,,Ovarian,,11,,11,
2016Q1,S08000020,S08000020,,Upper GI,,65,,64,
