Quarter,HB,HBQF,HBT,CancerType,CancerTypeQF,NumberOfEligibleReferrals62DayStandard,NumberOfEligibleReferrals62DayStandardQF,NumberOfEligibleReferralsTreatedWithin62Days,NumberOfEligibleReferralsTreatedWithin62DaysQF
2015Q1,S08000016,,S08000024,Colorectal,,3,,3,
2015Q1,S08000016,,S08000024,Head & Neck,,1,,1,
2015Q1,S08000016,,S08000024,Lung,,4,,4,
2015Q1,S08000016,,S08000024,Upper GI,,4,,4,
2015Q1,S08000016,,S08000024,Urological,,3,,1,
2015Q1,S08000017,,S08000017,Breast,,12,,12,
2015Q1,S08000017,,S08000017,Colorectal,,19,,19,
2015Q1,S08000017,,S08000017,Head & Neck,,2,,2,
2015Q1,S08000017,,S08000017,Lung,,20,,20,
2015Q1,S08000017,,S08000017,Lymphoma,,4,,4,
2015Q1,S08000017,,S08000017,Melanoma,,3,,3,
2015Q1,S08000017,,S08000017,Ovarian,,1,,1,
2015Q1,S08000017,,S08000017,Upper GI,,5,,5,
2015Q1,S08000017,,S08000017,Urological,,9,,9,
2015Q1,S08000017,,S08000024,Breast,,1,,1,
2015Q1,S08000017,,S08000024,Head & Neck,,2,,2,
2015Q1,S08000017,,S08000024,Lung,,4,,4,
2015Q1,S08000017,,S08000024,Ovarian,,1,,1,
2015Q1,S08000017,,S08000024,Urological,,3,,0,
2015Q1,S08000017,,SB0801,Lung,,1,,1,
2015Q1,S08000019,,S08000019,Breast,,25,,25,
2015Q1,S08000019,,S08000019,Cervical,,4,,4,
2015Q1,S08000019,,S08000019,Colorectal,,22,,19,
2015Q1,S08000019,,S08000019,Lung,,21,,21,
2015Q1,S08000019,,S08000019,Lymphoma,,8,,8,
2015Q1,S08000019,,S08000019,Melanoma,,12,,9,
2015Q1,S08000019,,S08000019,Upper GI,,20,,20,
2015Q1,S08000019,,S08000019,Urological,,40,,36,
2015Q1,S08000019,,S08000031,Breast,,1,,1,
2015Q1,S08000019,,S08000031,Cervical,,1,,0,
2015Q1,S08000019,,S08000031,Colorectal,,1,,1,
2015Q1,S08000019,,S08000031,Head & Neck,,8,,4,
2015Q1,S08000019,,S08000031,Lung,,3,,3,
2015Q1,S08000019,,S08000031,Ovarian,,4,,4,
2015Q1,S08000019,,S08000031,Upper GI,,3,,2,
2015Q1,S08000019,,S08000032,Head & Neck,,1,,1,
2015Q1,S08000019,,SB0801,Lung,,8,,8,
2015Q1,S08000020,,S08000020,Breast,,41,,41,
2015Q1,S08000020,,S08000020,Cervical,,2,,2,
2015Q1,S08000020,,S08000020,Colorectal,,52,,38,
2015Q1,S08000020,,S08000020,Head & Neck,,11,,9,
2015Q1,S08000020,,S08000020,Lung,,57,,51,
2015Q1,S08000020,,S08000020,Lymphoma,,19,,14,
2015Q1,S08000020,,S08000020,Melanoma,,10,,9,
2015Q1,S08000020,,S08000020,Ovarian,,5,,5,
2015Q1,S08000020,,S08000020,Upper GI,,49,,46,
2015Q1,S08000020,,S08000020,Urological,,68,,53,
2015Q1,S08000020,,S08000022,Colorectal,,1,,0,
2015Q1,S08000020,,S08000022,Lymphoma,,1,,0,
2015Q1,S08000020,,S08000025,Lung,,1,,1,
2015Q1,S08000020,,S08000025,Melanoma,,1,,1,
2015Q1,S08000022,,S08000022,Breast,,55,,55,
2015Q1,S08000022,,S08000022,Cervical,,1,,1,
2015Q1,S08000022,,S08000022,Colorectal,,25,,22,
2015Q1,S08000022,,S08000022,Head & Neck,,6,,6,
2015Q1,S08000022,,S08000022,Lung,,22,,22,
2015Q1,S08000022,,S08000022,Lymphoma,,2,,2,
2015Q1,S08000022,,S08000022,Melanoma,,8,,8,
2015Q1,S08000022,,S08000022,Ovarian,,7,,7,
2015Q1,S08000022,,S08000022,Upper GI,,16,,16,
2015Q1,S08000022,,S08000022,Urological,,28,,24,
2015Q1,S08000022,,S08000028,Breast,,1,,1,
2015Q1,S08000022,,S08000031,Upper GI,,1,,1,
2015Q1,S08000022,,SB0801,Lung,,2,,2,
2015Q1,S08000024,,S08000016,Breast,,4,,4,
2015Q1,S08000024,,S08000019,Breast,,3,,3,
2015Q1,S08000024,,S08000024,Breast,,180,,180,
2015Q1,S08000024,,S08000024,Cervical,,16,,15,
2015Q1,S08000024,,S08000024,Colorectal,,59,,50,
2015Q1,S08000024,,S08000024,Head & Neck,,15,,15,
2015Q1,S08000024,,S08000024,Lung,,50,,48,
2015Q1,S08000024,,S08000024,Lymphoma,,14,,13,
2015Q1,S08000024,,S08000024,Melanoma,,13,,13,
2015Q1,S08000024,,S08000024,Ovarian,,5,,5,
2015Q1,S08000024,,S08000024,Upper GI,,31,,30,
2015Q1,S08000024,,S08000024,Urological,,66,,56,
2015Q1,S08000024,,S08000029,Breast,,1,,1,
2015Q1,S08000025,,S08000020,Colorectal,,1,,1,
2015Q1,S08000025,,S08000025,Breast,,1,,1,
2015Q1,S08000025,,S08000025,Colorectal,,1,,1,
2015Q1,S08000026,,S08000020,Upper GI,,2,,2,
2015Q1,S08000026,,S08000020,Urological,,1,,1,
2015Q1,S08000026,,S08000026,Breast,,3,,3,
2015Q1,S08000026,,S08000026,Colorectal,,1,,1,
2015Q1,S08000026,,S08000026,Head & Neck,,1,,1,
2015Q1,S08000026,,S08000026,Upper GI,,1,,1,
2015Q1,S08000026,,S08000026,Urological,,3,,2,
2015Q1,S08000028,,S08000022,Colorectal,,2,,2,
2015Q1,S08000028,,S08000022,Head & Neck,,1,,1,
2015Q1,S08000028,,S08000022,Lung,,1,,1,
2015Q1,S08000028,,S08000022,Upper GI,,2,,1,
2015Q1,S08000028,,S08000028,Breast,,1,,1,
2015Q1,S08000028,,S08000028,Colorectal,,1,,1,
2015Q1,S08000028,,S08000028,Lung,,1,,1,
2015Q1,S08000028,,S08000031,Upper GI,,1,,0,
2015Q1,S08000029,,S08000024,Cervical,,2,,2,
2015Q1,S08000029,,S08000024,Colorectal,,1,,1,
2015Q1,S08000029,,S08000024,Head & Neck,,1,,1,
2015Q1,S08000029,,S08000024,Lung,,23,,16,
2015Q1,S08000029,,S08000024,Upper GI,,5,,3,
2015Q1,S08000029,,S08000024,Urological,,1,,1,
2015Q1,S08000029,,S08000029,Breast,,23,,22,
2015Q1,S08000029,,S08000029,Colorectal,,29,,29,
2015Q1,S08000029,,S08000029,Head & Neck,,2,,2,
2015Q1,S08000029,,S08000029,Lung,,34,,31,
2015Q1,S08000029,,S08000029,Lymphoma,,6,,6,
2015Q1,S08000029,,S08000029,Melanoma,,6,,6,
2015Q1,S08000029,,S08000029,Ovarian,,4,,4,
2015Q1,S08000029,,S08000029,Upper GI,,16,,16,
2015Q1,S08000029,,S08000029,Urological,,36,,28,
2015Q1,S08000029,,S08000030,Lung,,2,,2,
2015Q1,S08000030,,S08000024,Lung,,3,,3,
2015Q1,S08000030,,S08000030,Breast,,51,,51,
2015Q1,S08000030,,S08000030,Cervical,,3,,3,
2015Q1,S08000030,,S08000030,Colorectal,,37,,27,
2015Q1,S08000030,,S08000030,Head & Neck,,3,,3,
2015Q1,S08000030,,S08000030,Lung,,35,,34,
2015Q1,S08000030,,S08000030,Melanoma,,14,,12,
2015Q1,S08000030,,S08000030,Ovarian,,3,,3,
2015Q1,S08000030,,S08000030,Upper GI,,27,,27,
2015Q1,S08000030,,S08000030,Urological,,17,,14,
2015Q1,S08000031,,S08000019,Breast,,1,,1,
2015Q1,S08000031,,S08000022,Upper GI,,1,,1,
2015Q1,S08000031,,S08000024,Upper GI,,1,,0,
2015Q1,S08000031,,S08000024,Urological,,1,,1,
2015Q1,S08000031,,S08000030,Lymphoma,,1,,1,
2015Q1,S08000031,,S08000031,Breast,,239,,236,
2015Q1,S08000031,,S08000031,Cervical,,6,,5,
2015Q1,S08000031,,S08000031,Colorectal,,85,,78,
2015Q1,S08000031,,S08000031,Head & Neck,,39,,36,
2015Q1,S08000031,,S08000031,Lung,,132,,122,
2015Q1,S08000031,,S08000031,Lymphoma,,32,,31,
2015Q1,S08000031,,S08000031,Melanoma,,25,,25,
2015Q1,S08000031,,S08000031,Ovarian,,9,,9,
2015Q1,S08000031,,S08000031,Upper GI,,67,,57,
2015Q1,S08000031,,S08000031,Urological,,118,,91,
2015Q1,S08000031,,S08000032,Breast,,12,,12,
2015Q1,S08000031,,SB0801,Lung,,23,,16,
2015Q1,S08000031,,SB0801,Upper GI,,1,,0,
2015Q1,S08000032,,S08000024,Colorectal,,1,,1,
2015Q1,S08000032,,S08000031,Cervical,,2,,2,
2015Q1,S08000032,,S08000031,Colorectal,,6,,3,
2015Q1,S08000032,,S08000031,Head & Neck,,4,,4,
2015Q1,S08000032,,S08000031,Lung,,19,,18,
2015Q1,S08000032,,S08000031,Ovarian,,9,,6,
2015Q1,S08000032,,S08000031,Upper GI,,2,,2,
2015Q1,S08000032,,S08000031,Urological,,1,,0,
2015Q1,S08000032,,S08000032,Breast,,52,,51,
2015Q1,S08000032,,S08000032,Cervical,,2,,2,
2015Q1,S08000032,,S08000032,Colorectal,,40,,39,
2015Q1,S08000032,,S08000032,Head & Neck,,6,,6,
2015Q1,S08000032,,S08000032,Lung,,28,,28,
2015Q1,S08000032,,S08000032,Lymphoma,,12,,12,
2015Q1,S08000032,,S08000032,Melanoma,,11,,11,
2015Q1,S08000032,,S08000032,Upper GI,,16,,16,
2015Q1,S08000032,,S08000032,Urological,,33,,31,
2015Q1,S08000032,,SB0801,Lung,,9,,9,
2015Q2,S08000015,,S08000015,Breast,,80,,78,
2015Q2,S08000015,,S08000015,Cervical,,3,,2,
2015Q2,S08000015,,S08000015,Colorectal,,35,,32,
2015Q2,S08000015,,S08000015,Head & Neck,,14,,14,
2015Q2,S08000015,,S08000015,Lung,,40,,40,
2015Q2,S08000015,,S08000015,Lymphoma,,5,,5,
2015Q2,S08000015,,S08000015,Melanoma,,8,,8,
2015Q2,S08000015,,S08000015,Ovarian,,4,,3,
2015Q2,S08000015,,S08000015,Upper GI,,16,,16,
2015Q2,S08000015,,S08000015,Urological,,49,,49,
2015Q2,S08000015,,S08000017,Breast,,3,,3,
2015Q2,S08000015,,S08000024,Breast,,1,,0,
2015Q2,S08000015,,S08000031,Cervical,,2,,2,
2015Q2,S08000015,,S08000031,Head & Neck,,4,,4,
2015Q2,S08000015,,S08000031,Lung,,7,,7,
2015Q2,S08000015,,S08000031,Melanoma,,2,,2,
2015Q2,S08000015,,S08000031,Ovarian,,5,,5,
2015Q2,S08000015,,S08000031,Upper GI,,6,,5,
2015Q2,S08000015,,S08000031,Urological,,1,,1,
2015Q2,S08000015,,SB0801,Lung,,5,,5,
2015Q2,S08000016,,S08000016,Breast,,2,,2,
2015Q2,S08000016,,S08000016,Colorectal,,10,,10,
2015Q2,S08000016,,S08000016,Head & Neck,,2,,2,
2015Q2,S08000016,,S08000016,Lung,,8,,8,
2015Q2,S08000016,,S08000016,Lymphoma,,5,,5,
2015Q2,S08000016,,S08000016,Melanoma,,7,,7,
2015Q2,S08000016,,S08000016,Ovarian,,4,,4,
2015Q2,S08000016,,S08000016,Upper GI,,10,,10,
2015Q2,S08000016,,S08000016,Urological,,8,,8,
2015Q2,S08000016,,S08000024,Colorectal,,1,,1,
2015Q2,S08000016,,S08000024,Head & Neck,,1,,1,
2015Q2,S08000016,,S08000024,Lung,,3,,3,
2015Q2,S08000016,,S08000024,Ovarian,,2,,2,
2015Q2,S08000016,,S08000024,Upper GI,,3,,3,
2015Q2,S08000016,,S08000024,Urological,,5,,4,
2015Q2,S08000017,,S08000017,Breast,,8,,8,
2015Q2,S08000017,,S08000017,Colorectal,,15,,15,
2015Q2,S08000017,,S08000017,Head & Neck,,1,,1,
2015Q2,S08000017,,S08000017,Lung,,11,,11,
2015Q2,S08000017,,S08000017,Lymphoma,,4,,4,
2015Q2,S08000017,,S08000017,Melanoma,,4,,4,
2015Q2,S08000017,,S08000017,Ovarian,,2,,2,
2015Q2,S08000017,,S08000017,Upper GI,,9,,9,
2015Q2,S08000017,,S08000017,Urological,,3,,3,
2015Q2,S08000017,,S08000024,Breast,,1,,1,
2015Q2,S08000017,,S08000024,Cervical,,1,,1,
2015Q2,S08000017,,S08000024,Colorectal,,1,,1,
2015Q2,S08000017,,S08000024,Head & Neck,,1,,1,
2015Q2,S08000017,,S08000024,Lung,,1,,1,
2015Q2,S08000017,,S08000024,Urological,,3,,1,
2015Q2,S08000019,,S08000019,Breast,,36,,36,
2015Q2,S08000019,,S08000019,Cervical,,1,,1,
2015Q2,S08000019,,S08000019,Colorectal,,33,,32,
2015Q2,S08000019,,S08000019,Head & Neck,,5,,4,
2015Q2,S08000019,,S08000019,Lung,,27,,27,
2015Q2,S08000019,,S08000019,Lymphoma,,7,,7,
2015Q2,S08000019,,S08000019,Melanoma,,13,,12,
2015Q2,S08000019,,S08000019,Ovarian,,3,,3,
2015Q2,S08000019,,S08000019,Upper GI,,14,,13,
2015Q2,S08000019,,S08000019,Urological,,37,,33,
2015Q2,S08000019,,S08000024,Lung,,1,,1,
2015Q2,S08000019,,S08000024,Upper GI,,1,,1,
2015Q2,S08000019,,S08000031,Breast,,1,,1,
2015Q2,S08000019,,S08000031,Cervical,,1,,1,
2015Q2,S08000019,,S08000031,Colorectal,,2,,1,
2015Q2,S08000019,,S08000031,Head & Neck,,2,,2,
2015Q2,S08000019,,S08000031,Lung,,9,,9,
2015Q2,S08000019,,S08000031,Lymphoma,,1,,1,
2015Q2,S08000019,,S08000031,Melanoma,,1,,1,
2015Q2,S08000019,,S08000031,Ovarian,,2,,2,
2015Q2,S08000019,,S08000031,Upper GI,,4,,3,
2015Q2,S08000019,,S08000031,Urological,,3,,3,
2015Q2,S08000019,,S08000032,Head & Neck,,1,,1,
2015Q2,S08000019,,SB0801,Lung,,3,,3,
2015Q2,S08000020,,S08000020,Breast,,86,,81,
2015Q2,S08000020,,S08000020,Cervical,,7,,2,
2015Q2,S08000020,,S08000020,Colorectal,,50,,28,
2015Q2,S08000020,,S08000020,Head & Neck,,9,,6,
2015Q2,S08000020,,S08000020,Lung,,61,,56,
2015Q2,S08000020,,S08000020,Lymphoma,,20,,19,
2015Q2,S08000020,,S08000020,Melanoma,,12,,10,
2015Q2,S08000020,,S08000020,Ovarian,,5,,4,
2015Q2,S08000020,,S08000020,Upper GI,,41,,40,
2015Q2,S08000020,,S08000020,Urological,,50,,42,
2015Q2,S08000020,,S08000022,Head & Neck,,1,,0,
2015Q2,S08000022,,S08000020,Lung,,1,,1,
2015Q2,S08000022,,S08000020,Ovarian,,1,,1,
2015Q2,S08000022,,S08000020,Urological,,1,,0,
2015Q2,S08000022,,S08000022,Breast,,49,,49,
2015Q2,S08000022,,S08000022,Cervical,,2,,2,
2015Q2,S08000022,,S08000022,Colorectal,,40,,35,
2015Q2,S08000022,,S08000022,Head & Neck,,5,,4,
2015Q2,S08000022,,S08000022,Lung,,22,,21,
2015Q2,S08000022,,S08000022,Lymphoma,,5,,5,
2015Q2,S08000022,,S08000022,Melanoma,,4,,4,
2015Q2,S08000022,,S08000022,Ovarian,,6,,6,
2015Q2,S08000022,,S08000022,Upper GI,,27,,25,
2015Q2,S08000022,,S08000022,Urological,,19,,8,
2015Q2,S08000022,,S08000028,Breast,,2,,2,
2015Q2,S08000022,,S08000028,Upper GI,,1,,1,
2015Q2,S08000022,,S08000028,Urological,,1,,0,
2015Q2,S08000022,,S08000031,Lung,,1,,1,
2015Q2,S08000022,,S08000031,Lymphoma,,1,,1,
2015Q2,S08000022,,S08000031,Melanoma,,1,,0,
2015Q2,S08000022,,S08000031,Upper GI,,1,,1,
2015Q2,S08000022,,SB0801,Lung,,1,,1,
2015Q2,S08000024,,S08000016,Breast,,1,,1,
2015Q2,S08000024,,S08000019,Breast,,2,,2,
2015Q2,S08000024,,S08000024,Breast,,192,,191,
2015Q2,S08000024,,S08000024,Cervical,,7,,7,
2015Q2,S08000024,,S08000024,Colorectal,,59,,52,
2015Q2,S08000024,,S08000024,Head & Neck,,14,,12,
2015Q2,S08000024,,S08000024,Lung,,50,,48,
2015Q2,S08000024,,S08000024,Lymphoma,,20,,18,
2015Q2,S08000024,,S08000024,Melanoma,,19,,18,
2015Q2,S08000024,,S08000024,Ovarian,,8,,8,
2015Q2,S08000024,,S08000024,Upper GI,,31,,28,
2015Q2,S08000024,,S08000024,Urological,,82,,70,
2015Q2,S08000024,,S08000029,Breast,,3,,3,
2015Q2,S08000025,,S08000020,Breast,,1,,1,
2015Q2,S08000025,,S08000025,Colorectal,,2,,2,
2015Q2,S08000025,,S08000025,Lymphoma,,1,,1,
2015Q2,S08000025,,S08000025,Upper GI,,1,,1,
2015Q2,S08000026,,S08000020,Upper GI,,1,,1,
2015Q2,S08000026,,S08000026,Breast,,4,,4,
2015Q2,S08000026,,S08000026,Melanoma,,1,,1,
2015Q2,S08000026,,S08000026,Ovarian,,1,,1,
2015Q2,S08000026,,S08000026,Upper GI,,1,,1,
2015Q2,S08000028,,S08000022,Colorectal,,1,,1,
2015Q2,S08000028,,S08000022,Lung,,3,,3,
2015Q2,S08000028,,S08000022,Upper GI,,1,,1,
2015Q2,S08000028,,S08000028,Head & Neck,,1,,1,
2015Q2,S08000028,,S08000028,Lung,,3,,3,
2015Q2,S08000028,,S08000028,Melanoma,,2,,2,
2015Q2,S08000028,,S08000028,Upper GI,,2,,2,
2015Q2,S08000028,,S08000028,Urological,,1,,1,
2015Q2,S08000028,,S08000031,Head & Neck,,1,,1,
2015Q2,S08000028,,S08000031,Ovarian,,1,,1,
2015Q2,S08000028,,SB0801,Lung,,1,,1,
2015Q2,S08000029,,S08000024,Colorectal,,2,,1,
2015Q2,S08000029,,S08000024,Head & Neck,,5,,4,
2015Q2,S08000029,,S08000024,Lung,,14,,9,
2015Q2,S08000029,,S08000024,Ovarian,,1,,1,
2015Q2,S08000029,,S08000024,Upper GI,,5,,4,
2015Q2,S08000029,,S08000024,Urological,,1,,1,
2015Q2,S08000029,,S08000029,Breast,,24,,24,
2015Q2,S08000029,,S08000029,Cervical,,1,,1,
2015Q2,S08000029,,S08000029,Colorectal,,26,,26,
2015Q2,S08000029,,S08000029,Head & Neck,,3,,3,
2015Q2,S08000029,,S08000029,Lung,,31,,31,
2015Q2,S08000029,,S08000029,Lymphoma,,7,,7,
2015Q2,S08000029,,S08000029,Melanoma,,1,,1,
2015Q2,S08000029,,S08000029,Ovarian,,4,,4,
2015Q2,S08000029,,S08000029,Upper GI,,11,,11,
2015Q2,S08000029,,S08000029,Urological,,33,,28,
2015Q2,S08000029,,S08000030,Melanoma,,1,,0,
2015Q2,S08000030,,S08000020,Lung,,2,,2,
2015Q2,S08000030,,S08000024,Lung,,1,,1,
2015Q2,S08000030,,S08000030,Breast,,66,,66,
2015Q2,S08000030,,S08000030,Cervical,,4,,4,
2015Q2,S08000030,,S08000030,Colorectal,,25,,22,
2015Q2,S08000030,,S08000030,Head & Neck,,7,,5,
2015Q2,S08000030,,S08000030,Lung,,44,,42,
2015Q2,S08000030,,S08000030,Lymphoma,,1,,1,
2015Q2,S08000030,,S08000030,Melanoma,,24,,21,
2015Q2,S08000030,,S08000030,Ovarian,,2,,1,
2015Q2,S08000030,,S08000030,Upper GI,,27,,27,
2015Q2,S08000030,,S08000030,Urological,,31,,26,
2015Q2,S08000031,,S08000031,Breast,,197,,186,
2015Q2,S08000031,,S08000031,Cervical,,7,,7,
2015Q2,S08000031,,S08000031,Colorectal,,108,,98,
2015Q2,S08000031,,S08000031,Head & Neck,,45,,37,
2015Q2,S08000031,,S08000031,Lung,,142,,130,
2015Q2,S08000031,,S08000031,Lymphoma,,20,,19,
2015Q2,S08000031,,S08000031,Melanoma,,37,,37,
2015Q2,S08000031,,S08000031,Ovarian,,9,,9,
2015Q2,S08000031,,S08000031,Upper GI,,74,,63,
2015Q2,S08000031,,S08000031,Urological,,94,,71,
2015Q2,S08000031,,S08000032,Breast,,8,,8,
2015Q2,S08000031,,SB0801,Lung,,25,,23,
2015Q2,S08000032,,S08000024,Urological,,3,,3,
2015Q2,S08000032,,S08000031,Breast,,2,,2,
2015Q2,S08000032,,S08000031,Cervical,,1,,1,
2015Q2,S08000032,,S08000031,Colorectal,,4,,0,
2015Q2,S08000032,,S08000031,Head & Neck,,3,,3,
2015Q2,S08000032,,S08000031,Lung,,14,,13,
2015Q2,S08000032,,S08000031,Melanoma,,1,,1,
2015Q2,S08000032,,S08000031,Ovarian,,8,,8,
2015Q2,S08000032,,S08000031,Upper GI,,3,,3,
2015Q2,S08000032,,S08000031,Urological,,1,,0,
2015Q2,S08000032,,S08000032,Breast,,45,,45,
2015Q2,S08000032,,S08000032,Cervical,,3,,3,
2015Q2,S08000032,,S08000032,Colorectal,,45,,43,
2015Q2,S08000032,,S08000032,Head & Neck,,10,,10,
2015Q2,S08000032,,S08000032,Lung,,37,,37,
2015Q2,S08000032,,S08000032,Lymphoma,,10,,10,
2015Q2,S08000032,,S08000032,Melanoma,,14,,14,
2015Q2,S08000032,,S08000032,Ovarian,,2,,2,
2015Q2,S08000032,,S08000032,Upper GI,,23,,23,
2015Q2,S08000032,,S08000032,Urological,,29,,27,
2015Q2,S08000032,,SB0801,Lung,,9,,9,
2015Q3,S08000015,,S08000015,Breast,,60,,59,
2015Q3,S08000015,,S08000015,Colorectal,,29,,28,
2015Q3,S08000015,,S08000015,Head & Neck,,6,,6,
2015Q3,S08000015,,S08000015,Lung,,35,,35,
2015Q3,S08000015,,S08000015,Lymphoma,,7,,6,
2015Q3,S08000015,,S08000015,Melanoma,,12,,12,
2015Q3,S08000015,,S08000015,Ovarian,,4,,4,
2015Q3,S08000015,,S08000015,Upper GI,,25,,24,
2015Q3,S08000015,,S08000015,Urological,,25,,22,
2015Q3,S08000015,,S08000017,Breast,,2,,2,
2015Q3,S08000015,,S08000031,Cervical,,2,,1,
2015Q3,S08000015,,S08000031,Colorectal,,4,,1,
2015Q3,S08000015,,S08000031,Head & Neck,,4,,2,
2015Q3,S08000015,,S08000031,Lung,,17,,13,
2015Q3,S08000015,,S08000031,Lymphoma,,1,,1,
2015Q3,S08000015,,S08000031,Melanoma,,1,,1,
2015Q3,S08000015,,S08000031,Ovarian,,7,,6,
2015Q3,S08000015,,S08000031,Upper GI,,16,,12,
2015Q3,S08000015,,S08000031,Urological,,1,,1,
2015Q3,S08000015,,SB0801,Lung,,5,,1,
2015Q3,S08000016,,S08000016,Breast,,13,,13,
2015Q3,S08000016,,S08000016,Colorectal,,10,,10,
2015Q3,S08000016,,S08000016,Head & Neck,,2,,2,
2015Q3,S08000016,,S08000016,Lung,,12,,12,
2015Q3,S08000016,,S08000016,Lymphoma,,4,,4,
2015Q3,S08000016,,S08000016,Melanoma,,3,,3,
2015Q3,S08000016,,S08000016,Ovarian,,1,,1,
2015Q3,S08000016,,S08000016,Upper GI,,6,,6,
2015Q3,S08000016,,S08000016,Urological,,4,,4,
2015Q3,S08000016,,S08000024,Head & Neck,,1,,1,
2015Q3,S08000016,,S08000024,Lung,,2,,2,
2015Q3,S08000016,,S08000024,Upper GI,,5,,5,
2015Q3,S08000016,,S08000024,Urological,,3,,2,
2015Q3,S08000017,,S08000017,Breast,,19,,19,
2015Q3,S08000017,,S08000017,Cervical,,1,,1,
2015Q3,S08000017,,S08000017,Colorectal,,13,,11,
2015Q3,S08000017,,S08000017,Head & Neck,,1,,1,
2015Q3,S08000017,,S08000017,Lung,,16,,16,
2015Q3,S08000017,,S08000017,Lymphoma,,1,,1,
2015Q3,S08000017,,S08000017,Melanoma,,2,,2,
2015Q3,S08000017,,S08000017,Upper GI,,10,,10,
2015Q3,S08000017,,S08000017,Urological,,16,,16,
2015Q3,S08000017,,S08000024,Colorectal,,1,,1,
2015Q3,S08000017,,S08000024,Lung,,2,,2,
2015Q3,S08000017,,S08000024,Upper GI,,1,,1,
2015Q3,S08000017,,S08000024,Urological,,3,,2,
2015Q3,S08000017,,SB0801,Lung,,2,,2,
2015Q3,S08000019,,S08000019,Breast,,26,,26,
2015Q3,S08000019,,S08000019,Colorectal,,22,,22,
2015Q3,S08000019,,S08000019,Head & Neck,,1,,1,
2015Q3,S08000019,,S08000019,Lung,,13,,13,
2015Q3,S08000019,,S08000019,Lymphoma,,7,,7,
2015Q3,S08000019,,S08000019,Melanoma,,7,,7,
2015Q3,S08000019,,S08000019,Upper GI,,16,,16,
2015Q3,S08000019,,S08000019,Urological,,46,,43,
2015Q3,S08000019,,S08000024,Upper GI,,1,,1,
2015Q3,S08000019,,S08000031,Cervical,,1,,0,
2015Q3,S08000019,,S08000031,Colorectal,,1,,1,
2015Q3,S08000019,,S08000031,Head & Neck,,7,,5,
2015Q3,S08000019,,S08000031,Lung,,5,,4,
2015Q3,S08000019,,S08000031,Lymphoma,,1,,1,
2015Q3,S08000019,,S08000031,Ovarian,,1,,1,
2015Q3,S08000019,,S08000031,Upper GI,,4,,4,
2015Q3,S08000019,,S08000032,Head & Neck,,1,,1,
2015Q3,S08000019,,SB0801,Lung,,5,,4,
2015Q3,S08000020,,S08000020,Breast,,106,,99,
2015Q3,S08000020,,S08000020,Cervical,,4,,2,
2015Q3,S08000020,,S08000020,Colorectal,,47,,28,
2015Q3,S08000020,,S08000020,Head & Neck,,14,,8,
2015Q3,S08000020,,S08000020,Lung,,63,,57,
2015Q3,S08000020,,S08000020,Lymphoma,,13,,10,
2015Q3,S08000020,,S08000020,Melanoma,,7,,7,
2015Q3,S08000020,,S08000020,Ovarian,,9,,9,
2015Q3,S08000020,,S08000020,Upper GI,,34,,33,
2015Q3,S08000020,,S08000020,Urological,,50,,44,
2015Q3,S08000020,,S08000024,Urological,,1,,1,
2015Q3,S08000020,,S08000025,Urological,,1,,1,
2015Q3,S08000022,,S08000020,Urological,,1,,0,
2015Q3,S08000022,,S08000022,Breast,,62,,62,
2015Q3,S08000022,,S08000022,Cervical,,2,,2,
2015Q3,S08000022,,S08000022,Colorectal,,33,,27,
2015Q3,S08000022,,S08000022,Head & Neck,,4,,3,
2015Q3,S08000022,,S08000022,Lung,,27,,23,
2015Q3,S08000022,,S08000022,Lymphoma,,6,,6,
2015Q3,S08000022,,S08000022,Melanoma,,7,,6,
2015Q3,S08000022,,S08000022,Ovarian,,3,,3,
2015Q3,S08000022,,S08000022,Upper GI,,19,,19,
2015Q3,S08000022,,S08000022,Urological,,25,,14,
2015Q3,S08000022,,S08000028,Breast,,1,,1,
2015Q3,S08000022,,S08000028,Urological,,2,,0,
2015Q3,S08000022,,S08000031,Breast,,1,,1,
2015Q3,S08000022,,S08000031,Upper GI,,1,,1,
2015Q3,S08000022,,SB0801,Colorectal,,1,,1,
2015Q3,S08000022,,SB0801,Lung,,1,,1,
2015Q3,S08000024,,S08000019,Breast,,2,,2,
2015Q3,S08000024,,S08000024,Breast,,202,,202,
2015Q3,S08000024,,S08000024,Cervical,,5,,5,
2015Q3,S08000024,,S08000024,Colorectal,,57,,52,
2015Q3,S08000024,,S08000024,Head & Neck,,11,,9,
2015Q3,S08000024,,S08000024,Lung,,56,,55,
2015Q3,S08000024,,S08000024,Lymphoma,,17,,15,
2015Q3,S08000024,,S08000024,Melanoma,,16,,15,
2015Q3,S08000024,,S08000024,Ovarian,,5,,4,
2015Q3,S08000024,,S08000024,Upper GI,,37,,34,
2015Q3,S08000024,,S08000024,Urological,,66,,53,
2015Q3,S08000024,,S08000029,Breast,,5,,5,
2015Q3,S08000025,,S08000020,Cervical,,1,,1,
2015Q3,S08000025,,S08000020,Colorectal,,1,,0,
2015Q3,S08000025,,S08000020,Upper GI,,1,,1,
2015Q3,S08000025,,S08000025,Breast,,1,,1,
2015Q3,S08000025,,S08000025,Colorectal,,2,,1,
2015Q3,S08000025,,S08000025,Lung,,1,,1,
2015Q3,S08000025,,S08000025,Upper GI,,1,,1,
2015Q3,S08000026,,S08000020,Colorectal,,3,,1,
